ui,name,mesh_number
D000066450,mouse embryonic stem cells,A11.872.700.250.875
D000066473,embryonic germ cells,"A11.497.124, A11.872.700.250.625"
D000066477,work performance,I03.946.675
D000066479,criminal behavior,F01.145.250
D000066491,clinical decision-making,E01.055
D000066492,cognitive aging,G07.345.124.260
D000066494,cognitive neuroscience,"F04.096.628.255.500, H01.158.610.030"
D000066498,emotional adjustment,"F01.058.144, F01.752.543.500.250"
D000066499,facial recognition,"F02.463.593.524.250.500, F02.463.593.524.500.500, F02.463.593.932.622.500"
D000066502,grandparents,"F01.829.263.403, I01.880.853.150.452, M01.264"
D000066505,help-seeking behavior,F01.145.813.217
D000066506,heuristics,"F02.463.425.725.500, F02.463.785.810.500"
D000066511,intimate partner violence,"I01.198.240.856.575, I01.880.735.900.688"
D000066530,neurological rehabilitation,"E02.760.169.063.500.477, E02.831.477, H02.403.680.600.750, N02.421.784.511"
D000066550,physical abuse,"I01.198.240.856.688, I01.880.735.900.744"
D000066553,problem behavior,"F01.145.126.972, F01.145.179.750"
D000066608,underage drinking,"F01.145.022.750, F01.145.317.269.875, I01.880.735.878"
D000066630,ectopic gene expression,G05.308.202
D000066670,cell plasticity,G04.356.250
D000066673,cell self renewal,"G04.144.220.235, G04.161.750.500.375, G05.113.415, G07.345.249.410.750.500.625"
D000066768,rehabilitation research,H01.770.644.145.472
D000066792,orthodontists,"M01.526.485.330.655, N02.360.330.655"
D000066794,oral and maxillofacial surgeons,"M01.526.485.330.483, N02.360.330.483"
D000066829,neuroprotection,G11.561.645
D000066888,"diet, food, and nutrition",G07.203
D000066889,triticale,B01.650.940.800.575.912.250.822.906
D000066891,critical care outcomes,"N04.761.559.590.399.250, N05.715.360.575.575.399.250"
D000066908,simulation training,I02.903.847
D000066928,millets,B01.650.940.800.575.912.250.822.587
D000066949,biobehavioral sciences,H01.770.644.108.687
D000066970,protein corona,D12.776.642
D000066988,vegetarians,M01.928
D000066989,vegans,M01.928.500
D000067,accounts payable and receivable,N03.219.463.030.080
D000067009,youth sports,I03.450.642.845.987
D000067010,literacy,"F01.145.209.429, N01.824.196.500"
D000067011,severe acute malnutrition,C18.654.521.719
D000067012,"banking, personal",N03.219.463.030.100
D000067013,evidence-based facility design,N02.278.200.252
D000067029,"physical appearance, body","E01.370.600.115.450, G07.100.175"
D000067030,fruit and vegetable juices,"G07.203.100.606, J02.200.606"
D000067048,ghee,"D10.212.302.199.500, G07.203.300.350.100.500, G07.203.300.375.200.500, J02.500.350.100.500, J02.500.375.200.500"
D000067071,hydraulic fracking,J01.576.655.875.750.500
D000067073,psychological trauma,F03.950.750.375
D000067074,peer influence,F01.829.316.483.750
D000067075,vegetable products,"G07.203.300.850.450, J02.500.850.800"
D000067088,direct-to-consumer advertising,J01.219.687.274.500
D000067108,direct-to-consumer screening and testing,"E01.370.398, N02.421.726.233.166"
D000067128,extracellular vesicles,A11.284.295.588
D000067148,fungal viruses,B04.352
D000067170,telocytes,A11.329.830.750
D000067190,exoskeleton device,E07.341
D000067208,shellfish hypersensitivity,C20.543.480.370.763
D000067248,"failure to rescue, health care","E01.789.800.760.500, H01.770.644.145.431.500, N04.761.559.590.800.760.500, N05.715.360.575.575.800.760.500"
D000067250,psychiatric rehabilitation,"H02.403.680.600.875, N02.421.784.578"
D000067251,symptom flare up,C23.550.291.937.500
D000067268,isolated heart preparation,"E05.519, E05.598.750"
D000067269,"diet, vegan","E02.642.249.300.750, G07.203.650.240.300.750"
D000067289,behavior observation techniques,"E05.796.112, F04.669.112"
D000067290,behavior rating scale,F04.711.271
D000067292,alcohol drinking in college,F01.145.317.269.625
D000067329,"obesity, metabolically benign","C18.654.726.500.650, C23.888.144.699.500.250, E01.370.600.115.100.160.120.699.500.375, G07.100.100.160.120.699.500.375"
D000067348,whole grains,"G07.203.300.300.550.500, G07.203.300.775.500.500, J02.500.300.550.500, J02.500.775.500.500"
D000067368,transanal endoscopic surgery,"E01.370.388.250.630.500, E04.210.240.250.680.500, E04.502.250.250.250.680.500, E04.502.250.630.500"
D000067369,transanal endoscopic microsurgery,"E01.370.388.250.630.500.500, E04.210.240.250.680.500.500, E04.494.787, E04.502.250.250.250.680.500.500, E04.502.250.630.500.500"
D000067390,cold injury,C26.212
D000067393,personal protective equipment,"E07.700.560, J01.637.708.560"
D000067397,nerve agents,"D27.720.599, D27.720.777.300.500"
D000067398,war-related injuries,"C26.946, I01.880.735.950.500.951.500, N06.850.460.350.600.903.500"
D000067399,abnormal involuntary movement scale,E01.370.600.550.162
D000067401,blood alcohol content,D02.033.375.135
D000067404,social communication disorder,F03.625.374.250
D000067408,legal services,I01.880.604.583.482
D000067448,defamation,"I01.198.240.240, I01.880.735.191.051"
D000067449,anger management therapy,F04.754.137.087
D000067450,"psychology, sports",F04.096.628.914
D000067453,war exposure,"I01.880.735.950.500.951, N06.850.460.350.600.903"
D000067454,childhood-onset fluency disorder,F03.625.374.125
D000067455,no-show patients,"F01.100.150.750.500.600.750, F01.145.488.887.500.600.750, M01.643.550, N04.452.758.635.500, N05.300.150.800.500.600.750"
D000067470,cellular reprogramming techniques,"E05.200.500.380, E05.242.378, E05.393.085"
D000067489,metacognition,F02.463.188.756
D000067490,prescription drug overuse,E02.319.306.500.750
D000067491,"near miss, healthcare","E02.319.529.750, N02.421.450.500.750, N02.421.450.550, N04.761.700.594, N05.700.513"
D000067492,rnai therapeutics,E02.095.301.250
D000067493,dynamic light scattering,E05.196.822.325
D000067494,"time out, healthcare","N04.761.700.635, N05.700.739"
D000067495,healthcare failure mode and effect analysis,"E05.318.740.600.800.715.500, N04.452.871.715.400, N05.715.360.750.625.700.690.400, N06.850.505.715.500, N06.850.520.830.600.800.715.500"
D000067496,spirit possession,K01.844.619.500
D000067498,"crew resource management, healthcare",N04.590.254
D000067508,computer heuristics,L01.224.050.375.095
D000067528,ataxins,"D12.776.631.069, D12.776.660.075"
D000067531,alarmins,D23.035
D000067548,dermal fillers,D27.720.102.461
D000067549,action spectrum,E05.196.867.826.150
D000067551,diplomacy,"F01.829.316.171, F02.463.785.373.520.500, I01.738.305"
D000067552,mutation accumulation,G05.365.590.594
D000067556,internal ribosome entry sites,"D13.444.735.790.878.942.250, G02.111.570.080.689.687.093, G05.360.080.689.687.093"
D000067558,biological mimicry,G16.012.750
D000067559,specific learning disorder,F03.625.562.700
D000067561,potentially inappropriate medication list,"N04.761.700.615, N05.700.594"
D000067562,late onset disorders,C23.550.291.883
D000067563,phakopsora pachyrhizi,B01.300.179.113
D000067565,farmers,M01.526.390
D000067568,culturally appropriate technology,J01.897.052
D000067570,social learning,F02.784.629.529.663
D000067571,financial statements,N03.219.463.030.140
D000067572,miners,M01.526.693
D000067573,chronopharmacokinetics,G07.690.725.249
D000067575,"administrative claims, healthcare",N04.452.859.564.137
D000067576,child health,N01.400.225
D000067596,interleukin-33,"D12.644.276.374.465.850, D12.776.467.374.465.850, D23.529.374.465.850"
D000067616,s100a12 protein,D12.776.157.125.750.875
D000067617,telopodes,"A11.284.180.900, A11.329.830.750.500"
D000067636,drosophila simulans,B01.050.500.131.617.720.500.500.750.310.250.750
D000067656,optimism,F01.100.787
D000067657,pessimism,F01.100.893
D000067696,ataxin-1,"D12.776.631.069.500, D12.776.660.075.500"
D000067697,adolescent health,N01.400.075
D000067698,ataxin-2,"D12.776.157.725.452.125, D12.776.631.069.750, D12.776.660.075.750, D12.776.664.962.452.125"
D000067699,ataxin-3,"D08.811.037.250, D12.776.631.069.875, D12.776.660.075.875"
D000067716,point-of-care testing,N04.590.874.500
D000067719,ataxin-7,"D12.776.631.069.901, D12.776.660.075.900"
D000067736,ataxin-10,D12.776.631.069.950
D000067756,glucagon-like peptide receptors,"D12.776.543.750.695.021, D12.776.543.750.750.360.100"
D000067757,glucagon-like peptide-1 receptor,"D12.776.543.750.695.021.500, D12.776.543.750.750.360.100.500"
D000067758,glucagon-like peptide-2 receptor,"D12.776.543.750.695.021.600, D12.776.543.750.750.360.100.600"
D000067759,receptor for advanced glycation end products,D12.776.543.750.615
D000067776,rna recognition motif proteins,"D12.776.157.725.813, D12.776.664.962.813"
D000067777,elav-like protein 2,"D12.776.157.725.813.500.500, D12.776.631.520.500, D12.776.664.962.813.500.500"
D000067778,elav-like protein 3,"D12.776.157.725.813.500.750, D12.776.631.520.750, D12.776.664.962.813.500.750"
D000067779,elav-like protein 4,"D12.776.157.725.813.500.875, D12.776.631.520.875, D12.776.664.962.813.500.875"
D000067780,elav-like protein 1,"D12.776.157.725.813.500.250, D12.776.664.962.813.500.250"
D000067796,whey,"A12.790.760, G07.203.100.700.750, G07.203.300.350.525.760, J02.200.700.750, J02.500.350.525.760"
D000067816,whey proteins,"A12.790.520.500, A12.790.760.500, D12.776.256.159.750.816, G07.203.300.350.525.760.500, G07.203.300.428.159.812.500, J02.500.350.525.520.500, J02.500.350.525.760.500, J02.500.428.159.750.500"
D000067836,hoarding disorder,F03.080.600.250
D000067856,poly(adp-ribose) polymerase inhibitors,"D27.505.519.389.739, D27.505.954.248.692"
D000067877,autism spectrum disorder,F03.625.164.113
D000067878,celf proteins,"D12.776.157.725.813.250, D12.776.664.962.813.250"
D000067879,celf1 protein,"D12.776.157.725.813.250.500, D12.776.664.962.813.250.500"
D000067896,industrial development,"I01.261.262.500, J01.576.519"
D000067917,cloud computing,L01.224.097
D000067936,natural resources,"G16.500.275.553, J01.728, N06.230.350"
D000067940,glycemic load,"G07.203.650.660.750, J01.576.423.850.730.750.750, N06.850.601.750.750"
D000067956,adenylyl cyclase inhibitors,D27.505.519.389.108
D000067996,raw 264.7 cells,"A11.251.210.172.875, A11.733.397.815"
D000068,accreditation,"N03.706.110.070, N05.700.200.100"
D000068016,clostridiales,B03.353.625
D000068036,graphic novel,V02.700.415
D000068037,south sudan,Z01.058.290.120.745
D000068079,motor disorders,F03.608
D000068097,maternal health,N01.400.900.500
D000068098,seed bank,N02.278.065.650
D000068099,trauma and stressor related disorders,F03.950
D000068101,maternal-child health services,"N02.421.143.130.660, N02.421.143.620.275"
D000068103,serine-arginine splicing factors,"D12.776.157.725.829.500, D12.776.664.962.829.500"
D000068104,infant health,N01.400.388
D000068105,bipolar and related disorders,F03.084
D000068116,gender dysphoria,F03.835.550
D000068156,formative feedback,F02.784.629.529.223
D000068180,aripiprazole,"D03.383.606.170, D03.633.100.810.835.122"
D000068181,prunus dulcis,B01.650.940.800.575.912.250.859.937.500.625.500
D000068196,albumin-bound paclitaxel,"D02.455.426.392.368.242.888.777.500, D02.455.849.291.850.777.500, D12.776.034.073"
D000068216,child protective services,"I01.409.418.500, N03.540.400.500"
D000068217,social workers,M01.526.919
D000068218,prunus africana,B01.650.940.800.575.912.250.859.937.500.625.250
D000068219,prunus armeniaca,B01.650.940.800.575.912.250.859.937.500.625.375
D000068220,prunus avium,B01.650.940.800.575.912.250.859.937.500.625.400
D000068236,refugium,"G16.500.275.683, G16.500.819"
D000068237,distance counseling,"F02.784.176.350, F04.408.413.437, N02.421.143.303.175, N02.421.461.363.437, N04.452.758.849.550.500"
D000068238,lubiprostone,D10.251.355.325.050.500
D000068239,prunus persica,B01.650.940.800.575.912.250.859.937.500.625.750
D000068240,data anonymization,"H01.770.644.205, L01.224.134.500, N03.706.437.650.124.160, N04.452.910.200.500"
D000068241,personally identifiable information,I01.880.604.583.080.660
D000068242,prunus domestica,B01.650.940.800.575.912.250.859.937.500.625.450
D000068256,darbepoetin alfa,D12.776.395.240.150.500
D000068257,"efavirenz, emtricitabine, tenofovir disoproxil fumarate drug combination","D02.705.429.906.125, D03.383.533.375, D03.383.742.680.245.500.600.125, D03.633.100.759.138.881.125, D26.310.375"
D000068258,bevacizumab,"D12.776.124.486.485.114.224.060.375, D12.776.124.790.651.114.224.060.438, D12.776.377.715.548.114.224.200.438"
D000068276,giraffes,B01.050.150.900.649.313.500.380.443
D000068296,risedronic acid,"D02.705.429.500.872, D03.383.725.836"
D000068297,fluticasone-salmeterol drug combination,"D02.033.100.291.057.750.500, D02.092.063.291.057.750.500, D02.092.471.683.061.750.500, D04.210.500.054.079.129.114.500, D26.310.438"
D000068298,fluticasone,D04.210.500.054.079.129.114
D000068299,salmeterol xinafoate,"D02.033.100.291.057.750, D02.092.063.291.057.750, D02.092.471.683.061.750"
D000068316,"parks, recreational",J03.925.680
D000068336,warfare and armed conflicts,I01.880.735.950
D000068337,armed conflicts,I01.880.735.950.250
D000068338,everolimus,D02.540.505.760.500
D000068342,"aspirin, dipyridamole drug combination","D02.455.426.559.389.657.410.595.176.500, D03.383.742.175.500, D26.310.125"
D000068356,self-control,F01.145.813.595
D000068357,saline waters,G16.500.275.725
D000068376,compassion fatigue,"C23.888.369.500.500, F01.145.126.937.500, F01.145.126.990.734.500, F02.830.900.666.750"
D000068377,plantaginaceae,B01.650.940.800.575.912.250.583.700
D000068378,lamiales,B01.650.940.800.575.912.250.583
D000068397,clinical study,V03.175
D000068436,surgical clearance,E01.370.505
D000068437,pemetrexed,"D03.633.100.759.758.399.454.650, D12.125.067.625.525, D12.125.119.409.525"
D000068438,brimonidine tartrate,D03.633.100.857.070
D000068456,clinical studies as topic,"E05.318.372.250, N05.715.360.330.250, N06.850.520.450.250"
D000068476,beijing,"Z01.252.474.164.225, Z01.433.114"
D000068516,african union,"I01.615.500.125, N03.540.089"
D000068536,firmicutes,B03.353
D000068538,dutasteride,D04.210.500.925.100.125
D000068543,calceolariaceae,B01.650.940.800.575.912.250.583.190
D000068556,interferon beta-1a,"D12.644.276.374.440.890.275.500, D12.776.467.374.440.890.275.500, D23.529.374.440.890.275.500"
D000068557,olmesartan medoxomil,"D03.383.129.308.674, D03.383.129.617.584"
D000068558,"amlodipine besylate, olmesartan medoxomil drug combination","D03.383.129.308.674.500, D03.383.129.617.584.500, D03.383.725.203.065.500, D26.310.063"
D000068576,interferon beta-1b,"D12.644.276.374.440.890.275.750, D12.776.467.374.440.890.275.750, D23.529.374.440.890.275.750"
D000068577,nebivolol,"D02.033.100.291.491, D02.092.063.291.503, D03.383.663.283.755, D03.633.100.150.755"
D000068579,celecoxib,"D02.065.884.247, D02.886.590.700.247, D03.383.129.539.160"
D000068580,varenicline,"D03.633.100.079.900, D03.633.100.857.942"
D000068581,tadalafil,"D03.383.725.150.500, D03.633.100.473.155.500, D03.633.300.154.672"
D000068582,certolizumab pegol,"D05.750.741.125, D12.644.541.500.650.250, D12.776.124.486.485.114.224.060.500, D12.776.124.486.485.680.650.250, D12.776.124.790.651.114.224.060.500, D12.776.124.790.651.680.650.250, D12.776.377.715.548.114.224.200.500, D12.776.377.715.548.680.650.250"
D000068597,"censorship, research","I01.880.604.238, K01.752.566.479.173.200, N05.350.670.250"
D000068598,data accuracy,"E05.318.308.028, E05.318.370.725.250, L01.399.250.202, N05.715.360.300.202, N05.715.360.325.685.250"
D000068599,"brimonidine tartrate, timolol maleate drug combination","D02.033.100.624.915.500, D02.033.755.624.915.500, D02.092.063.624.915.500, D02.886.675.867.768.500, D03.383.129.708.867.768.500, D03.633.100.857.070.500, D26.310.312"
D000068600,"albuterol, ipratropium drug combination","D02.033.100.291.057.125, D02.092.063.291.057.125, D02.092.471.683.061.125, D02.145.074.722.229.400.500, D03.132.760.180.572.400.500, D03.132.889.180.648.400.500, D03.605.084.500.722.229.400.500, D03.605.869.229.400.500, D26.310.344"
D000068601,dual use research,H01.770.644.217
D000068616,professionalism,"K01.752.566.479.171.566, N05.350.340.581"
D000068617,genetic background,G05.346
D000068618,selective breeding,"E05.820.150.760, G05.090.701"
D000068636,legendary creatures,I01.076.201.450.515.500
D000068656,mometasone furoate,D04.210.500.745.432.719.526
D000068676,fallopia multiflora,B01.650.940.800.575.912.250.825.359.590
D000068677,sildenafil citrate,"D02.065.884.675, D02.886.590.700.675, D03.383.606.854, D03.633.100.759.824"
D000068678,"emtricitabine, rilpivirine, tenofovir drug combination","D02.626.809.500, D02.705.429.906.500, D03.383.742.680.245.500.600.500, D03.383.742.755.500, D03.633.100.759.138.881.500, D26.310.407"
D000068679,emtricitabine,"D03.383.742.680.245.500.600, D13.570.230.329.525, D13.570.685.245.500.600"
D000068696,rilpivirine,"D02.626.809, D03.383.742.755"
D000068698,tenofovir,"D02.705.429.906, D03.633.100.759.138.881"
D000068717,glatiramer acetate,D12.644.219
D000068718,rosuvastatin calcium,"D02.065.884.650, D02.455.526.510.432.500, D02.886.590.700.650, D03.383.742.775"
D000068736,duloxetine hydrochloride,"D02.886.778.260, D03.383.903.260"
D000068737,tolterodine tartrate,"D02.033.100.624.706.750, D02.033.755.624.706.750, D02.092.063.624.706.800, D02.455.426.559.389.115.900, D02.455.426.559.389.657.239.756"
D000068756,valsartan,"D03.383.129.617.850, D12.125.070.950.550, D12.125.142.930.500"
D000068757,ononis,B01.650.940.800.575.912.250.401.604
D000068758,"mometasone furoate, formoterol fumarate drug combination","D02.033.100.291.425.500, D02.092.063.291.425.500, D04.210.500.745.432.719.526.500, D26.310.469"
D000068759,formoterol fumarate,"D02.033.100.291.425, D02.092.063.291.425"
D000068760,serotonin and noradrenaline reuptake inhibitors,"D27.505.519.562.437.693, D27.505.519.625.600.693, D27.505.696.577.600.693"
D000068776,"sleep aids, pharmaceutical","D27.505.696.277.350.500, D27.505.954.427.210.350.500"
D000068796,orexin receptor antagonists,"D27.505.519.625.663, D27.505.696.277.350.500.500, D27.505.696.577.663, D27.505.954.427.210.350.500.500"
D000068797,orexins,"D12.644.400.360, D12.776.631.650.363"
D000068798,hoodia,B01.650.940.800.575.912.250.456.500.389
D000068799,prasugrel hydrochloride,"D02.886.778.600, D03.383.606.800, D03.383.903.600"
D000068800,etanercept,"D12.644.541.500.697.624, D12.776.124.486.485.538.500.624, D12.776.124.486.485.680.697.624, D12.776.124.790.651.538.500.624, D12.776.124.790.651.680.660.624, D12.776.377.715.548.538.500.624, D12.776.377.715.548.680.660.624, D12.776.543.750.705.852.760.232"
D000068801,"adapalene, benzoyl peroxide drug combination","D02.241.223.100.133.500, D02.455.426.559.389.127.133.500, D02.455.426.559.847.638.090.500, D04.615.638.090.500, D26.310.032"
D000068816,adapalene,"D02.455.426.559.847.638.090, D04.615.638.090"
D000068817,epoetin alfa,"D12.644.276.374.410.240.150.500, D12.776.395.240.150.750, D12.776.467.374.410.240.150.500, D23.529.374.410.240.150.750"
D000068818,cetuximab,"D12.776.124.486.485.114.224.060.750, D12.776.124.790.651.114.224.060.750, D12.776.377.715.548.114.224.200.750"
D000068819,hyssopus plant,B01.650.940.800.575.912.250.583.520.330
D000068836,rivastigmine,D02.241.081.251.583.899
D000068837,parmeliaceae,"B01.300.107.685, B01.300.340.458"
D000068838,"amlodipine, valsartan drug combination","D03.383.129.617.850.500, D03.383.725.203.065.750, D12.125.070.950.550.500, D12.125.142.930.500.500, D26.310.094"
D000068856,eugenia,B01.650.940.800.575.912.250.773.374
D000068857,"human papillomavirus recombinant vaccine quadrivalent, types 6, 11, 16, 18","D20.215.894.815.455, D20.215.894.899.498.500"
D000068858,kombucha tea,"D20.215.784.844.500, G07.203.100.831.500, G07.203.200.625, J02.200.831.500, J02.350.625"
D000068876,fingolimod hydrochloride,"D02.033.100.700.350, D02.033.455.706.431, D02.092.063.700.350"
D000068877,imatinib mesylate,"D02.065.277.456, D02.241.223.100.100.435, D02.455.426.559.389.127.085.465, D03.383.606.405, D03.383.742.349"
D000068878,trastuzumab,"D12.776.124.486.485.114.224.060.875, D12.776.124.790.651.114.224.060.875, D12.776.377.715.548.114.224.200.875"
D000068879,adalimumab,"D12.776.124.486.485.114.224.060.250, D12.776.124.790.651.114.224.060.250, D12.776.377.715.548.114.224.200.250"
D000068880,"isophane insulin, human","D06.472.699.587.200.300.200.500, D06.472.699.587.200.500.625.500.500, D12.644.548.586.200.300.200.500, D12.644.548.586.200.500.625.500.500"
D000068881,"animals, exotic",B01.050.050.126
D000068882,paliperidone palmitate,"D03.383.129.385.650, D03.383.742.592"
D000068884,immunosenescence,"G07.345.124.390, G12.460.500"
D000068896,canagliflozin,"D02.886.778.075, D03.383.903.075, D09.408.348.113"
D000068897,iridescence,G01.590.310
D000068898,raltegravir potassium,D03.383.773.812.752
D000068899,"sitagliptin phosphate, metformin hydrochloride drug combination","D02.078.370.141.450.500, D03.383.129.799.725.500, D03.383.679.875.500, D26.310.750"
D000068900,sitagliptin phosphate,"D03.383.129.799.725, D03.383.679.875"
D000068916,spatial regression,"E05.318.740.750.862, E05.318.740.933.375, N05.715.360.750.695.825, N05.715.360.750.746.375, N06.850.520.830.750.862, N06.850.520.830.933.375"
D000068936,theranostic nanomedicine,"E01.894, E02.785.500, E02.921, H01.603.600.500, H02.403.200.700.500, H02.403.845, J01.897.520.600.600.500"
D000068937,cosmeceuticals,"D26.074, D27.720.269.285"
D000068956,prisoner dilemma,E05.385.500
D000068957,"games, recreational",I03.450.642.693.465
D000068958,return to sport,I03.450.642.845.605
D000068959,body weight maintenance,G07.345.249.314.120.250
D000068977,concierge medicine,N04.452.758.708.450.500
D000068997,smartphone,"L01.178.847.698.300.250, L01.224.230.260.550.500.750"
D000068998,humidifiers,"E07.451, J01.494.650"
D000069,acculturation,"I01.076.201.450.050, I01.880.853.100.079"
D000069036,insulin glargine,"D06.472.699.587.200.300.100, D12.644.548.586.200.300.100"
D000069056,lurasidone hydrochloride,"D02.886.675.414, D03.383.129.708.414, D03.633.100.513.437"
D000069057,insulin detemir,"D06.472.699.587.200.300.050, D12.644.548.586.200.300.050"
D000069058,vardenafil dihydrochloride,"D03.383.129.308.980, D03.383.606.960"
D000069059,atorvastatin,"D03.383.129.578.075, D10.251.450.200"
D000069076,"fractures, multiple","C26.404.280, C26.640.500"
D000069077,memory consolidation,F02.463.425.540.305.500
D000069078,seroconversion,G12.800
D000069079,radiation exposure,"G01.750.748, N06.850.460.350.850"
D000069098,health smart cards,"E05.318.308.940.968.625.750, L01.313.500.750.300.695.300, N04.452.653.250, N04.452.859.564.650.250, N05.715.360.300.715.500.530.500, N06.850.520.308.940.968.625.500"
D000069177,type i secretion systems,D05.500.890.500.500
D000069178,type ii secretion systems,D05.500.890.500.750
D000069196,gastrointestinal microbiome,"G06.591.375, G16.500.275.157.049.100.500.375, N06.230.124.049.100.500.250"
D000069216,contraceptive prevalence surveys,"E05.318.308.980.313, N05.715.360.300.800.313, N06.850.520.308.980.313"
D000069236,pericardial fluid,"A07.541.795.500, A10.615.789.470.500, A12.207.270.651"
D000069237,arthrocentesis,"E01.370.225.998.329.465, E02.800.550.310, E04.665.600.465, E05.200.998.329.465"
D000069258,thoracentesis,"E01.370.225.998.329.810, E02.800.550.810, E04.665.600.810, E05.200.998.329.810"
D000069259,superficial musculoaponeurotic system,"A01.456.505.875, A01.598.500"
D000069261,podosomes,"A11.284.180.695, A11.436.275.841"
D000069262,plantar plate,"A02.165.308.650, A02.513.514.538, A02.835.583.378.531.500, A02.835.583.378.900.500, A02.835.583.512.538, A10.165.382.350.400, A10.165.669.514.538"
D000069263,fallopia,B01.650.940.800.575.912.250.825.359
D000069278,arterial switch operation,"E04.100.376.031, E04.928.220.055"
D000069279,drug resistant epilepsy,C10.228.140.490.125
D000069280,electrocorticography,"E01.370.376.300.294, E01.370.405.245.431"
D000069281,autoimmune hypophysitis,"C10.228.140.617.738.275.500, C19.700.419.500, C20.111.273"
D000069282,canaliculitis,C11.496.221.500
D000069283,rituximab,"D12.776.124.486.485.114.224.075.785, D12.776.124.790.651.114.224.075.785, D12.776.377.715.548.114.224.284.785"
D000069284,protein translocation systems,D05.500.890
D000069285,infliximab,"D12.776.124.486.485.114.224.608, D12.776.124.790.651.114.224.537, D12.776.377.715.548.114.224.642"
D000069286,bortezomib,"D01.029.260.110.500, D01.132.285.500, D02.203.200.500, D03.383.679.450"
